Comment,Cleaned_Comment
"Bukan masalah cuma nonton 1 episode sih. Emang kelakuan si Abidzar ini uda keterlaluan arogan, dia kek mencaci maki fans drakor gitu trus bilang &#39;kalian kalo ga suka ya tinggal ga usah nonton&#39;. Akhirnya ya gini, yang nonton cuma orang2 dia sendiri 6900 orang wkwk",1 episode kelakuan uda arogan kek mencaci maki drakor gitu trus suka tinggal gini orang2 6900 wkwk
Aslinya Indonesia melirik kisah sejarah pada masa Majapahit terutama masa gajah mada. Gak bayangin gimana epiknya jika bisa CGI ala marjan. Wih udah deh.,aslinya indonesia melirik kisah sejarah majapahit gajah mada bayangin gimana epiknya cgi ala marjan wih deh
"Sebagai wibu merangkap fans sepak bola, gue merasa jadi entitas terkuat setelah nonton video ini 😂",wibu merangkap sepak bola entitas terkuat video
@@rrkov10 gw yang wibu fans sepak bola dan drakor: entitas dewa,rrkov10 wibu sepak bola drakor entitas dewa
Gw yg wibu plus kpoper pun sama😂,wibu plus kpoper
@@Sarkrashandal Sungkem 🙏,sarkrashandal sungkem
🗿,
"Gw Fans Bola, Drakor, Wibu be like 🗿🗿🗿",bola drakor wibu be like
"W sbg pecinta kdrama, sebenernya gak masalah dengan actornya, gpp jg klo ceritanya akan lebih indonesia, tapi omongan yg bilang gpp gak nonton, loh sombongnya",w sbg pecinta kdrama sebenernya actornya gpp jg ceritanya indonesia omongan gpp loh sombongnya
Abizar gak niat jualanya😂😂😂😂,abizar niat jualanya
Intronya keren banget bang,intronya keren
Emang kocak si dekil boyy.. mamam tuh 😂😂,kocak dekil boyy mamam tuh
"Ini baru Reviewer yang hebat!!<br><br>Selain film, bang timo juga bisa kritis semua aspek bahkan kesalahan aktornya 🔥🔥🔥",reviewer hebatselain timo kritis aspek kesalahan aktornya
Target pasar di ajak kemusuhan😂😂😂,target pasar ajak kemusuhan
Intro ngelantur makin asik sumpah,intro ngelantur asik sumpah
6.900 penonton itu juga paling keluarga dan kerabat para crew film 😅,6900 penonton keluarga kerabat crew
Baru kali ini gw liat rating sebuah film dapat 1 / 10 🤯🤯,kali liat rating 1 10
"&quot;kalau ga suka ya gausah ditonton, ribet amat 😅&quot;<br>*beneran gaada yang nonton",suka gausah ditonton ribet beneran gaada
The real definisi karma is a bitch,the real definisi karma is a bitch
&quot;Masih banyak kok orang lain yg mau nnton&quot; 🙃🙃🙃,nnton
Ada yg nonton satu bioskop satu orang..sepi kyk di kuburan.,bioskop orangsepi kyk kuburan
Yg nonton keluarga ama tmnnya paling,keluarga ama tmnnya
Ucapan adalah do&#39;a gak sih...ini dia lagi ngejual produktif harusnya dia yakinkan orang buat suka produktif dia bukan malah kayak gitu,ucapan doa sihini ngejual produktif yakinkan suka produktif kayak gitu
"adaptasi teros, ky gabisa mikir",adaptasi teros ky gabisa mikir
"Versi koreanya kan build up nya pelan-pelan gegara epsnya ada 12, dan  itu mayan bagus. Ya tentu aja kalau di adaptasi jadi film ya jelas susah.",versi koreanya build up pelanpelan gegara epsnya 12 mayan bagus adaptasi susah
"Akhirnya,. Dibahas juga 😂",dibahas
Kasihan Sama PH nya wkwkwk...,kasihan ph wkwkwk
Bagi Wibu yg gak gitu ngerasa masalah ini besar bayangkan aja kalau Inaki Godoy bilang dia gak pernah nonton One Piece..,wibu gitu ngerasa bayangkan inaki godoy one piece
Lihatlah betapa sampahnya dragon ball evolution yg melenceng dari source aslinya😂,lihatlah betapa sampahnya dragon ball evolution melenceng source aslinya
terus bilang dia pengen buat karakternya sendiri😂,pengen karakternya
​@@Studi_bantingfilm last airbender  juga sama sampahnya gara gara sutradaranya ga pernah nonton serial kartunnya,studibantingfilm last airbender sampahnya gara gara sutradaranya serial kartunnya
"Dragonball malah lebih parah, setahu gua karena sutradaranya yang ga  beres nonton dragonball nya 🗿 beneran bikin cerita baru",dragonball parah setahu sutradaranya beres dragonball beneran cerita
​@@Studi_bantingsama last airbendernya shmalayan.,studibantingsama last airbendernya shmalayan
"Yg paling bahaya ngelanggar rules pertama sih, soalnya data pribadi lu bisa disebar dan siap² aja lu diteror paket cod gak dikenal 😂",bahaya ngelanggar rules data pribadi disebar diteror paket cod dikenal
"Untuk sekarang iya rule pertama yg paling serem kalo di indo, cuma kalo rule 3 kpopers mulai kayak knetz beneran sih serem juga ye",iya rule serem indo rule 3 kpopers kayak knetz beneran serem ye
💀,
dih pecinta bola doang,dih pecinta bola doang
seriusan? (beneran nanya),seriusan beneran nanya
"Abizar dipilih falcon pasti karna tarif dia lebih murah daripada aktor lain, secara ya ada banyaaakk aktor yg lebih aesuai dengan karakter yg bisa dipilih,kenapa falcon lebih milih abizar,,ya karna tarif dia lebih murah...",abizar dipilih falcon karna tarif murah banyakk aesuai dipilihkenapa falcon milih abizarya karna tarif murah
What a Sigma,what a sigma
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=415"">6:55</a> bahan meme gaes. selamat",655 bahan meme gaes selamat
MASTERPIECE INTROOO🔥🔥🔥,masterpiece intro
"&quot;Filmnya jelek dan tidak perlu ditonton&quot;, gitu yg mungkin akan saya katakan setelah menonton film ini.   😂😂",filmnya jelek ditonton gitu menonton
Yang nonton nih film kebanyakan para youtuber review film sama para tiktoker yang cuma pengen ngehujat nih film wkwkwkwk😂,nih kebanyakan youtuber review tiktoker pengen ngehujat nih wkwkwkwk
apa apaan 1.0/10😭😭😭,1010
padahal pemainnya lainnya jg bagus lho kayak ariel tatum dll,pemainnya jg bagus lho kayak ariel tatum dll
"Common sense: wah kita nge adaptasi Drakor, jdi pemasaran kita harus menggaet penikmat Drakor tentunya ✖️<br>Genius sense : wah kita nge adaptasi Drakor, jdi gw harus menggagalkan pemasaran film ini ✅<br><br>Aktor : kalo gamau nonton gpp..<br>Netizens: ok siap bang laksanakan ☺️👍<br><br>Yg bikin kasihan... Karena ego aktornya, merugikan semua tim 🥲👍",common sense nge adaptasi drakor jdi pemasaran menggaet penikmat drakor genius sense nge adaptasi drakor jdi menggagalkan pemasaran gamau gppnetizens ok laksanakan kasihan ego aktornya merugikan tim
"Kmrn di twitter ada yg spill, klo kru film itu udh dibayar, krna udb kerja.. jd sbnrnya ga terlalu pengaruh ama rame engga nya film itu, bhkan klo rame pun kdang ga kebagian bonus jg.. jd sama aja, bhkan kdang kru filmnya kga tau tgl tayang atau dia lgi kerja film apaan jg",kmrn twitter spill kru dibayar krna udb kerja jd sbnrnya pengaruh ama rame engga bhkan rame kdang kebagian bonus jg jd bhkan kdang kru filmnya kga tgl tayang lgi kerja jg
Merugikan produser sama PH nya aja sih 😂😂,merugikan produser ph
"@@neymanodolski4007 Yap betul harusnya untung banyak, jadi kecil banget. Nah, yang paling rugi sponsor. Ga dapet awareness yang mereka pengen.",neymanodolski4007 yap untung rugi sponsor dapet awareness pengen
"Sering lewat short, reeels soal ini.. Gue bahkan ga ngeuh kalau ini adaptasi dr cerita korea",short rels ngeuh adaptasi dr cerita korea
umi kepik😮,umi kepik
"Ibarat pemilik toko udah gaji karyawan 1 bulan diawal untuk melayani pelanggan.<br>Eh si karyawan malah menghina calon pelanggannya.<br>Tokonya sepi, karyawannya dimusuhi meski udah dpt gaji, pemilik tokonya rugi.",pemilik toko gaji karyawan 1 diawal melayani pelangganeh karyawan menghina calon pelanggannyatokonya sepi karyawannya dimusuhi dpt gaji pemilik tokonya rugi
"Masih mending karyawannya bisa dipecat, ini film udah masak nggak bisa diapa apain lagi 🥲",mending karyawannya dipecat masak nggak diapa apain
iya bener.... aktor apaan gitu huh....... so pisan,iya bener gitu huh so pisan
Industri Gaming Western jaman sekarang rata-rata begini juga awkwkwkw,industri gaming western jaman ratarata awkwkwkw
Ketauan abangnya karyawan retail,ketauan abangnya karyawan retail
"bener bang, sekarang coba upload video lagi sana",bener coba upload video
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=126"">2:06</a> wkwkw kocak kayaknya relate tuh😂😂",206 wkwkw kocak kayaknya relate tuh
Masih tinggian IPK Fufufafa 😂,tinggian ipk fufufafa
"jgn percaya apa2 di internet ya gaes, bs jadi para aktor emang kesel sama rumah produksinya",jgn percaya apa2 internet gaes bs kesel rumah produksinya
Semua rules itu ga ngaruh ke dedy cahyadi 😂,rules ngaruh dedy cahyadi
1 per 10 kayak ngelantur ngasih rating perjanjian setan😂,1 10 kayak ngelantur ngasih rating perjanjian setan
Sudah mohon maaf beliau lahir batin,mohon maaf beliau lahir batin
Soal plot setuju gw... Harusnya dijadiin film series atau ya tv series aja sekalian gt...<br><br>Soalnya kalo dipadetin jadi 1 film doang banyak bgt yg bakal dibuang itu... Jadi ga ngena aja 😅,plot setuju dijadiin series tv series gtsoalnya dipadetin 1 doang dibuang ngena
"wkwk seminggu langsung ada dinetflix tuh film, itu juga kalo di Acc Netflix",wkwk seminggu langsung dinetflix tuh acc netflix
"Filmnya dapet rating 6 loh dari ngelantur, sayang banget ego aktornya gak bisa di bendung.",filmnya dapet rating 6 loh ngelantur sayang ego aktornya bendung
"Nah iya, kalo rating 6 di ngelantur berarti potensial lah ya<br>Sebagai yg baca webtoonnya emang lebih suka webtoonnya daripada drakornya, jadi ga niat nonton adaptasinya versi indo dari awal, cuma aja ini perkara nantangin target penonton yg bikin fatal sih masalahnya",iya rating 6 ngelantur potensial yasebagai baca webtoonnya suka webtoonnya drakornya niat adaptasinya versi indo perkara nantangin target penonton fatal
"@ iyah potensial, saya penonton dramanya aja. pas tau castnya kaya kurang sreg, kalo emang harus mereka se enggaknya si arditho yang jadi kang tae-moo nya.",iyah potensial penonton dramanya pas castnya kaya sreg arditho kang taemoo
"​@rizky_Aldnoahiyaa,tapi rate nya lebih tinggi dari vina dan jurnal risa<br>dan penonton nya nya banyak,<br>walaupun sampah<br>ya karna semua itu ada di branding nya kuat🤣<br><br>abidzar branding nya aja udh ga bagus, walaupun film nya lebi bagus dr vina",rizkyaldnoahiyaatapi rate vina jurnal risadan penonton banyakwalaupun sampahya karna branding kuatabidzar branding bagus lebi bagus dr vina
inilah pentingnya PR Management yah teman-teman.,pr management yah temanteman
Kalo kamu gk mau nonton Gk papa.. <br>Masih Banyak kok Yang mau nonton :v<br><br>Mana Penonton nya 🙈,papa vmana penonton
"masalahnya drama yg diremake tuh drama baru, yg dimana pasti masih ada fansnya yg inget klo dia bilang mau buat character sendiri sih udah fix blunder",drama diremake tuh drama dimana fansnya inget character fix blunder
ratingnya d bawah EX-ARM 🗿,ratingnya d exarm
keren banget bumpernya,keren bumpernya
"Video comlinya Abidzar diUP lagi di X, saking gedegnya netizen WKWKWK",video comlinya diup x saking gedegnya netizen wkwkwk
Aktingnya juga jelek,aktingnya jelek
Orang bodoh pun (fans fanatik) tidak suka dibuktikan bodoh (menjadi fanatik) apalagi di depan publik. That&#39;s the reality.,bodoh fanatik suka dibuktikan bodoh fanatik publik thats the reality
"Sok edge, bro pikir bro reza rahadian/nicola saputra. :v",sok edge bro pikir bro reza rahadiannicola saputra v
"Tingkat kecrdasan ada batasanya, tapi kebodohan tidak.<br>Wkwkwkwkwkwk",tingkat kecrdasan batasanya kebodohan tidakwkwkwkwkwkwk
OPENINGNYA KEREN BROOOO TIMOT🎉🎉🎉,openingnya keren bro timot
Gw suka drakor. kita&quot; dri awal bukan krna judge muka ya. Liat nama nama cast aja udh agak nggak dulu. <br>1. Remake ko brani karakter utama make aktor kmren sore.<br>2. Ariel Tatum terlalu punya vibes dewasa . Seksi lah. Padahal karakter didrakor &amp; Webtoon kesannya elegan lucu gt. <br>3. Romcom nya Korea diremake ke indo selalu agak lahh.<br>4. Udh tau remake malah brani bacot buat karakter sendiri.<br>5. Gede bacot nya dia &amp; brani nantang + hina penyuka drakor  <br>6. Emaknya terlalu ikut campur dri awal.,suka drakor dri krna judge muka liat nama nama cast nggak 1 remake ko brani utama make kmren sore2 ariel tatum vibes dewasa seksi didrakor webtoon kesannya elegan lucu gt 3 romcom korea diremake indo lahh4 remake brani bacot sendiri5 gede bacot brani nantang hina penyuka drakor 6 emaknya campur dri
"gak belajar dari vino g bastian, dia aja bisa ngambil hati exo-l 😭😭",belajar vino g bastian ngambil hati exol
"Kalau di suruh pilih siapa yang pantas menjadi aktor utamanya film ini. Giulio parengkuan, ardhito pramono, bryan domani, jefri nickol arbani yasiz atau yusuf mahardika. Abizar harus lebih belajar lagi menjadi aktor yang tidak terlalu bangga dengan karya yang dia bikin, harus juga menerima kritik dari orang lain dan jangan anggap dirinya selalu benar",suruh pilih utamanya giulio parengkuan ardhito pramono bryan domani jefri nickol arbani yasiz yusuf mahardika abizar belajar bangga karya menerima kritik anggap
"Renyah kali admin bilang <a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=415"">6:55</a>",renyah kali admin 655
Gua suka opening loe hari ini bg😂,suka opening loe bg
Bro berfikir bikin film bioskop setara dengan film perpisahan sekolah SMA🗿,bro berfikir bioskop setara perpisahan sekolah sma
sindiran lu cerdas bang,sindiran cerdas
Kelar tuh Abidzar😹,kelar tuh
Gokil si intronya🔥,gokil intronya
"Kali ini gue setuju sama kpopers, emang attitude nya kureng dan layak di gituin.",kali setuju kpopers attitude kureng layak gituin
"Sebenarnya saat pertama sebelum kontroversi Prescon, itu udah ada sentilan toxic dari fans K-drama yg mengatakan aura Maghrib lah atau pesona Tante Tante lah ,tapi itu sebagian aja sedangkan sebagian lagi gak masalah selama film nya bagus ,dan duarrrr tiba2 aktor ini malah menyinggung etnis keseluruhan yg tadinya sebagian yg mau nonton jadi hilang minat, tapi satu hal terpenting selain kontroversi adalah ph dalam hal ini siapapun tidak bisa sembarangan mengadaptasi K-drama apalagi KLO K-drama populer ini populer tidak hanya dari cerita tapi juga dari look aktor dan aktrisnya ,karna pasti sebagian nya udah dipastikan hilang andai look dari karakter adaptasi ini gak sesuai dengan bayangan nya atau merusak image yg dibangun ,",kontroversi prescon sentilan toxic kdrama aura maghrib pesona tante tante bagus duar tiba2 menyinggung etnis hilang minat terpenting kontroversi ph sembarangan mengadaptasi kdrama kdrama populer populer cerita look aktrisnya karna hilang andai look adaptasi sesuai bayangan merusak image dibangun
"Pihak ph harus mengcasting aktor kyk gini .ph waduh .mau lawan fans 3 itu 😂😂😂😂😂 gue menikmati bangat <a href=""http://www.youtube.com/results?search_query=%23ayoo"">#ayoo</a> seru kan ban aktor kyk gini 1 juta tahun",ph mengcasting kyk gini ph lawan 3 menikmati bangat ayoo seru ban kyk gini 1 juta
Bang riview zona merah,riview zona merah
A,a
Abidzar adalah Gibran versi aktor,gibran versi
Alamak ✋🏿😭🤚🏿.....,alamak
"padahal kalau dia ngomong dengan kerendahan hatinya, ni film mungkin bakalan banyak yang nonton😂",ngomong kerendahan hatinya ni
"Gue ga nonton film buspro, tpi setelah denger ini, filmnya bener2 ikutin drakor?? ini beneran??? Ahahahahaha padahal cast2nya pada ngotot bilang mereka remake webtoonnya bukan DRAMA KOREANYA,, haduuh dari judul aja udh sama, masih gue berfikir positif &quot;mungkin&quot; isinya ga sama, pengambilan gambarnya ga sama, ternyata sama ya, pffffft",buspro tpi denger filmnya bener2 ikutin drakor beneran ahahahahaha cast2nya ngotot remake webtoonnya drama koreanya haduuh judul berfikir positif isinya pengambilan gambarnya pft
Sama aja drakor juga remake webtoon 😂. Emang lu dah lihat film nya ? Emang plek ketiplek sama drakornya,drakor remake webtoon dah lihat plek ketiplek drakornya
Film okey yg hancur gara gara Main Cast cowok nya blunder,okey hancur gara gara main cast cowok blunder
Merasa dia sudah bintang besar JD dia sogong padahal KLW di katakan dia blm kata gori hmmm,bintang jd sogong klw blm gori hm
"Assalamualaikum menurut saya, saya prihatin kepada para penggemar K-Pop Korea itu, anda tidak menghargai seniman negeri anda sendiri, harus nontonlah , ingat k drama itu pernah membuat sebuah film yang menjelekkan negara kita, yah gambarannya seperti yang kalian lakukan inilah , yaitu Didalam drama tersebut ia bercerita tentang para suporter Indonesia di tim bulutangkis itu sangatlah tidak sopan dan tidak tau etika, jadi berhentilah mengagumi negara mereka sedangkan mereka sebenarnya meremehkan kalian, biarlah seniman kita melakukan metodenya sendiri, coba saja yang mengatakan itu adalah artis Korea itu sendiri pasti kalian pada diam malahan mendukungnya bahkan memujinya dengan alasan mereka memiliki pendirian yang kuat dalam berkarya hmmmm",assalamualaikum prihatin penggemar kpop korea menghargai seniman negeri nontonlah k drama menjelekkan negara yah gambarannya lakukan didalam drama bercerita suporter indonesia tim bulutangkis sopan etika berhentilah mengagumi negara meremehkan biarlah seniman metodenya coba artis korea diam mendukungnya memujinya alasan memiliki pendirian kuat berkarya hm
